<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20160526,130000,129.7500000,131.4000000,129.7400000,131.2900000,24756610
SBER,60,20160526,140000,131.2700000,133.0500000,130.9600000,132.6000000,20909710
SBER,60,20160526,150000,132.6100000,132.7800000,131.8800000,132.1400000,8211260
SBER,60,20160526,160000,132.1400000,132.5800000,131.8800000,131.8800000,10575590
SBER,60,20160526,170000,131.8800000,132.9500000,131.5000000,131.5400000,14577490
SBER,60,20160526,180000,131.5400000,132.6000000,131.5100000,132.1600000,6705960
SBER,60,20160527,100000,131.6200000,134.7900000,131.5700000,133.9700000,26970030
SBER,60,20160527,110000,133.9900000,134.3000000,132.1300000,132.2200000,12728970
SBER,60,20160527,120000,132.2200000,132.7200000,131.3500000,132.3800000,11691170
SBER,60,20160527,130000,132.4200000,133.0900000,131.8900000,132.3500000,5177280
SBER,60,20160527,140000,132.3500000,132.7000000,132.1000000,132.3500000,3717110
SBER,60,20160527,150000,132.3600000,132.9500000,132.2200000,132.4100000,5358280
SBER,60,20160527,160000,132.4100000,132.8800000,131.9100000,132.7200000,7385750
SBER,60,20160527,170000,132.7200000,133.5900000,132.7200000,133.3500000,7393090
SBER,60,20160527,180000,133.3000000,133.8900000,133.2000000,133.2000000,6734180
SBER,60,20160530,100000,133.5500000,135.0800000,133.2000000,134.0900000,11184680
SBER,60,20160530,110000,134.1000000,134.1200000,132.6000000,132.6300000,5965730
SBER,60,20160530,120000,132.6200000,133.3000000,132.5500000,133.1300000,2424700
SBER,60,20160530,130000,133.1200000,133.9200000,133.0800000,133.6500000,3170430
SBER,60,20160530,140000,133.6500000,133.7300000,132.8900000,133.0300000,2687580
SBER,60,20160530,150000,133.0200000,133.4600000,132.9000000,133.1500000,1361680
SBER,60,20160530,160000,133.1700000,133.7000000,133.1500000,133.5400000,1320550
SBER,60,20160530,170000,133.5400000,134.4000000,133.4100000,133.8400000,3820400
SBER,60,20160530,180000,133.8300000,134.7800000,133.8200000,134.4500000,5621320
SBER,60,20160531,100000,134.7900000,135.5500000,133.6400000,134.1100000,14822690
SBER,60,20160531,110000,134.1000000,134.7600000,133.7000000,134.5300000,6980930
SBER,60,20160531,120000,134.5300000,135.9800000,134.4300000,135.6000000,13719420
SBER,60,20160531,130000,135.6200000,135.8500000,134.7000000,134.8800000,6427210
SBER,60,20160531,140000,134.8700000,135.5800000,134.6000000,135.3200000,7476000
SBER,60,20160531,150000,135.3200000,135.3400000,134.2200000,134.5000000,6872260
